id,time
2923210,2500534
2940437,2941515
2950978,69329
2951128,2610813
3076048,3232779
3101610,1535105
3121920,2650085
3129916,211
3195518,273186
3263155,23
3311390,10
3321155,1412
3366535,14292
3408340,62203
3441178,254338
3456738,2170725
3691018,180
3786827,1866956
3806738,17
3842590,3
3894079,99
3942174,2816655
3963989,481
3968628,147851
4128974,41181
4168825,854592
4202566,866
4247022,16249
4350764,147172
4416415,4
4441397,15
4469645,496
4526113,2853457
4581700,208
4633879,24
4686283,8
4704092,88821
4764031,11
4779611,1674
4868227,350
4890095,18
4969867,160028
5013002,2713537
5046159,115
5090605,12061
5116977,428621
5127970,1455486
5176929,830
5295442,217783
5305717,22
5308110,7
5330590,429141
5349812,139
5402974,180
5478241,658172
5540884,419
5566482,10
5601581,114
5613637,25
5795354,14
5795920,15
6052896,215
6090716,99
6100871,1110350
6200488,158
6232144,63
6258775,78
6298830,2667897
6310609,907400
6338244,11
6492581,72
6550164,12
6579661,1396
6650693,137
6655696,1706175
6698743,29775
6749297,5
6790274,950097
6807406,797162
6828321,12
6917585,67
7008014,23
7182264,120
7331811,893445
7375037,1288397
7493552,2145316
7507784,1707379
7608800,15
7741720,75294
7746485,415313
7801969,1095
7828041,2375443
8024790,67
8147877,9
8309569,1420568
8324947,223756
8460797,7
8579654,23016
8717656,336
8913529,1053
8937701,14
9030315,117
9053429,642
9065115,8
9389673,556751
9562598,1628794
9695207,2263204
9735273,77
9785851,14
9815038,16882
9826451,203
9955694,23
9992585,248
10211326,433
10214144,313770
10368305,118
10402822,12875
10646531,568137
10855810,176
10928966,459
10985991,9
11036389,23
11055336,31145
11131302,558
11143026,120
11433954,94
11452074,86
11650596,106
11666905,491809
11685427,6
11832654,103
11870266,17506
12093169,104
12162919,10
12200301,1863478
12360949,427334
12463675,2
12589685,438185
12686014,10
12729827,150
12873715,137
13170812,1039
13320285,1691
13378025,92
13787490,99
14130255,7
14169735,432596
14207755,91
14327207,12
14684946,91
14830958,102
15174808,77004
15284487,1287489
15299539,4079
15520239,1028394
15584690,426
15842614,103
15942936,397322
16061361,67060
16430592,12
16538973,100786
16653321,103
16992793,500
17034898,703
17059753,1878216
17062684,217
17375037,100
17723733,254403
17783254,35180
17804373,28
18136800,11
18147059,2952
18374263,2409
18663331,407
18746550,24
18858146,5269
18993445,99055
19684155,918665
19726791,6471
19785923,149
19871612,1618974
19976892,257718
20559708,4006
20686527,16
20941270,897
21272744,94
21277933,21
21693233,162
21700274,471
21824597,338
21995504,795894
22296514,1543222
22425542,13921
22529340,499
22544717,9
22565960,483529
22762201,95
22958965,1298741
23000291,265
23236548,15
23400207,274
23704097,381
23803023,400
23830822,62
24127491,9
24184810,293
24369272,1102894
24396293,1244666
24532467,105
24546912,104
25225149,962
25226325,3500
25376496,3
26087884,27
26152305,517
26254975,6925
26634744,19830
27053343,463
27219858,83
28075962,9902
28155293,112
28187434,154
28453092,14
29060043,96314
29079619,202948
29410809,298
29468724,89
29576423,4674
29629947,18
29814047,114
30266009,3418
30352580,64
30644743,63
30827925,107
30838406,1550
31540446,110834
31565989,78
32481719,108
32587431,490127
33015150,109
33458845,313
33770374,116
33781140,8
33918130,20
34071716,21
34100118,188
34112980,1929
34256592,10
34327430,93
34363635,224
34380859,13
35896090,262
35949853,63
36570911,13434
37526598,76
38648775,26149
38894078,9
39291850,105
39614294,96
39994054,13
40385195,965
40897461,4521
40911804,26
41005932,1206
414788,1540
762833,20
764890,702
920560,3413078
1196808,3022404
1628588,13
1802107,16
1813853,3056647
2012496,17924
2623462,340
3223753,334
3336200,214
3399019,237
3452355,290
3720034,809347
3799091,106
4469550,9
4675481,294615
5033666,6
5754857,183840
5781843,845726
5946218,1115160
6214690,10
6234755,848
6346821,28
6522526,8319
6706076,151
7093663,6252
7118314,191
7218671,1968100
7358629,9
7419167,17
7470537,113
7548975,12961
7555326,171
8010234,345
8539510,93
8562412,280914
8883818,61
8962633,79
9205316,165
11506277,107
12617667,10
12768306,447
12768942,2818
12792968,25076
13061947,95
13169943,3
13188732,2
13240081,2
13516476,1332256
14341709,109
14349844,1344222
14478859,78
14556336,8
14805073,1488
15081471,6
15338879,1327
15687138,408
16382589,634
16581888,113
16794425,102
17447838,13
18406622,24
19084981,1799573
20384656,14
20397675,20
20906861,10603
21018466,8
21772256,102
22661464,9
22965411,110
22991068,134
23021328,1104
23750693,800
23891347,4264
25224541,81656
25544587,1662
26729319,129
27170165,15468
27616789,6
29909665,5179
29944454,11
30465466,612
30470528,5
31192189,94
31842275,28
31872889,12
32145352,2082
32427967,57269
32647391,12346
34086390,95
34146392,412
34337679,10
34688765,207
35677969,483
35875835,91
36752850,27
36953612,5793
39239624,2959
39826865,3996
39829098,85
40178080,25
40978316,99
42063553,154
722932,7
1421485,105
2012496,17924
2038640,104
2441882,408
2703528,1115
2733871,6
2939368,165
3399019,237
3515169,32665
3600162,23382
4019770,104
4782859,257
4975394,10
5010286,13
5127512,427
5213178,284
5402665,173836
5420451,2344275
5444860,16
5537107,5
6358546,20
6683925,1772480
6973749,176
7114569,93
8071493,985
8169339,18
8483955,14
9038738,12
