id,time
18158181,4:36
18239201,2:25
18468006,0:7
18499550,0:6
18535706,0:2
18578146,0:3
18641163,1:37
18663331,0:7
18746550,0:6
18790332,1:4
18858146,8:43
19174970,1:3
19177930,2:33
19185543,1:15
19387043,5:38
19461349,0:4
19465228,1:28
19499889,0:13
19573966,2:32
19620401,0:13
19655647,0:4
19664582,4:25
19684155,0:2
19726791,5:36
19785923,0:13
19871612,2:35
19892416,4:55
19976892,0:12
20162442,0:4
20259607,0:6
20353968,1:44
20401328,3:8
20490450,3:27
20546702,0:7
20550660,0:20
20559708,9:30
20599837,8:11
20686527,0:6
20941270,0:9
21235933,0:22
21272744,0:25
21277933,0:11
21323234,0:2
21508421,0:3
21693233,1:32
21700274,5:17
21824597,1:52
21995504,0:2
22339856,0:4
22341063,2:32
22529340,0:10
22544717,0:9
22565960,0:14
22738635,1:5
22762201,0:7
23000291,0:15
23195044,5:8
23236548,0:9
23245659,1:42
23382015,0:17
23400207,0:5
23704097,0:15
23803023,0:26
23830822,1:37
23968248,11:29
24127491,0:5
24157714,2:4
24184810,1:10
24297154,0:10
24369272,3:41
24396293,0:8
24403551,0:19
24501368,0:27
24519737,0:0
24532467,0:24
24546912,0:23
25184148,1:30
25225149,8:22
25228182,3:42
25376496,0:3
25897492,0:7
25986863,2:24
26087884,0:9
26152305,1:54
26184094,0:27
26245182,5:56
26286174,3:35
26634744,0:18
26663827,12:32
27053343,0:6
27219858,0:8
27254175,1:43
27452847,0:6
27557592,1:36
27632660,2:29
27877390,6:31
27942386,1:60
28075962,0:4
28155293,1:38
28187434,1:2
28453092,0:13
28549635,0:30
28646888,0:6
28818460,1:22
29061067,0:4
29079619,0:2
29399824,1:53
29410809,0:7
29468724,1:17
29547886,5:5
29576423,1:26
29629947,0:10
29668884,0:12
29814047,0:21
30080236,2:12
30266009,0:2
30352580,1:60
30644743,0:9
30827925,0:10
30838406,0:17
31275467,2:25
31372636,0:18
31379662,6:40
31565989,1:58
31569758,1:39
31585930,0:23
31654505,6:33
31799634,0:27
31967738,0:19
31978160,0:13
31983262,1:31
32246652,3:13
32252933,0:3
32398460,1:41
32481719,0:4
32587431,0:6
33015150,1:32
33048046,12:58
33458845,1:20
33710201,0:20
33770374,0:17
33781140,0:4
33832491,0:18
33918130,0:13
34071716,0:13
34100118,1:51
34112980,2:30
34256592,0:2
34301579,0:0
34327430,1:31
34338162,1:53
34363635,0:13
34380859,0:6
34394938,0:4
34446207,0:22
34777302,0:5
35689094,0:7
35703285,0:6
35896090,0:8
35949853,0:8
36570911,7:43
37044445,0:15
37107832,0:6
37526598,0:7
38292741,7:47
38412251,9:44
38543930,1:38
38648775,1:8
38894078,0:5
38950909,1:37
39097257,0:3
39291850,0:3
39393388,0:4
39579959,0:12
39614294,1:31
39778385,2:45
39862240,0:15
39994054,0:6
40332448,2:31
40415392,1:2
40434424,1:50
40455338,3:43
40528656,1:36
40863157,3:26
40911804,0:24
41005932,4:13
41233923,2:41
41288032,0:5
41425972,2:53
41985790,1:34
42207831,1:32
42216740,2:21
42355160,9:49
42436375,2:28
414788,0:7
762833,0:16
764890,0:22
920560,0:4
1163718,0:17
1196808,0:9
1628588,0:2
1802107,0:2
1813853,0:2
2012496,0:21
2623462,0:3
2998864,0:1
3028691,1:57
3223753,0:5
3336200,0:5
3399019,0:22
3452355,3:54
3571457,0:9
3720034,0:6
3799091,0:4
4469550,0:3
4893681,1:34
4955965,0:23
5033666,0:2
5710635,1:36
5754857,0:7
5781843,0:8
5836813,0:8
5946218,0:4
6214690,0:9
6234755,0:3
6346821,0:2
6706076,0:2
7002719,0:2
7093663,0:3
7118314,1:21
7358629,0:2
7419167,0:14
7470537,0:3
7500911,0:6
7548975,1:38
7555326,1:15
7774623,2:13
8010234,0:7
8042821,0:11
8539510,0:10
8562412,0:8
8636235,11:0
8883818,0:21
8962633,0:27
9205316,0:17
11506277,0:10
12339969,0:9
12617667,0:7
12633345,1:1
12720877,7:11
12760828,0:19
12768306,6:4
12768942,0:3
13061947,0:2
13169943,0:2
13188732,0:2
13240081,0:1
13322041,4:40
14302846,2:13
14341709,1:40
14349844,0:3
14478859,0:5
14556336,0:7
14805073,0:17
15013060,12:53
15024382,0:10
15081471,0:3
15285927,8:59
15338879,0:5
15579950,0:7
15687138,0:3
15714812,1:1
16382589,3:43
16581888,0:5
16589908,0:15
16794425,0:5
17447838,0:10
17839708,0:4
18406622,0:6
18815237,0:23
19084981,1:59
19658441,0:2
19849217,2:29
19959390,0:4
20010689,0:2
20126330,2:55
20167124,1:39
20212789,1:41
20384656,0:8
20397675,0:3
20602738,0:18
21018466,0:6
21046825,0:19
21772256,0:17
21818182,0:9
22567563,2:43
22568939,0:5
22661464,0:5
22763040,5:57
22858721,12:56
22965411,0:18
22991068,2:13
23021328,0:18
23159031,0:27
23750693,1:33
23932172,3:16
24128158,0:3
24132030,0:9
24144652,0:15
24874273,0:23
25544587,2:6
25620281,3:33
25955898,1:7
26320210,0:3
26407608,0:18
26624020,1:26
26729319,2:7
27104182,0:26
27170165,0:6
27616789,0:4
27920632,0:25
28382619,1:45
29062236,5:12
29465283,1:39
29616060,8:18
29909665,4:14
29944454,0:11
30182018,1:60
30312874,0:18
30418119,0:30
30465466,5:35
30470528,0:4
