id,time
34112980,1779
34256592,8
34327430,2
34363635,211
34380859,7
35896090,254
35949853,55
36570911,12971
37526598,69
38648775,26081
38894078,4
39291850,102
39614294,5
39994054,7
40385195,959
40897461,4515
40911804,2
41005932,953
414788,1533
762833,4
764890,680
920560,3413074
1196808,3022395
1628588,11
1802107,14
1813853,3056645
2012496,17903
2623462,337
3223753,329
3336200,209
3399019,215
3452355,56
3720034,809341
3799091,102
4469550,6
4675481,294612
5033666,4
5754857,183833
5781843,845718
5946218,1115156
6214690,1
6234755,845
6346821,26
6522526,8317
6706076,149
7093663,6249
7118314,110
7218671,1968019
7358629,7
7419167,3
7470537,110
7548975,12863
7555326,96
8010234,338
8539510,83
8562412,280906
8883818,40
8962633,52
9205316,148
11506277,97
12617667,3
12768306,83
12768942,2815
12792968,25073
13061947,93
13169943,1
13188732,0
13240081,1
13516476,1332255
14341709,9
14349844,1344219
14478859,73
14556336,1
14805073,1471
15081471,3
15338879,1322
15687138,405
16382589,411
16581888,108
16794425,97
17447838,3
18406622,18
19084981,1799454
20384656,6
20397675,17
20906861,10600
21018466,2
21772256,85
22661464,4
22965411,92
22991068,1
23021328,1086
23750693,707
23891347,4171
25224541,81563
25544587,1536
26729319,2
27170165,15462
27616789,2
29909665,4925
29944454,0
30465466,277
30470528,1
31192189,87
31842275,2
31872889,5
32145352,1967
32427967,57252
32647391,12173
34086390,79
34146392,81
34337679,2
34688765,202
35677969,387
35875835,82
36752850,21
36953612,5614
39239624,2953
39826865,3990
39829098,15
40178080,2
40978316,87
42063553,131
722932,4
1421485,102
2012496,17903
2038640,102
2441882,399
2703528,1109
2733871,3
2939368,162
3399019,215
3515169,32643
3600162,23287
4019770,96
4782859,255
4975394,1
5010286,5
5127512,152
5213178,268
5402665,173820
5420451,2344272
5444860,10
5537107,3
6358546,18
6683925,1772478
6973749,174
7114569,88
8071493,831
8169339,14
8483955,11
9038738,7
9232227,181
9272484,25
9349230,9
9764481,231
9850445,626
10295584,1032381
12034102,148
12131019,9
12960820,17
13333181,72
14079478,152
14305189,20
15117591,7
15800178,12
16095768,789
16382589,411
17154104,94
17217582,23
17359424,18
17447838,3
19042690,5125
19117835,199
19538869,107953
19630642,3
19968470,252672
20179760,6
20389064,152321
